id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
1142,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1143,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1144,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1145,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1146,"Mavalli,Bangalore",10,8000,5.5
1147,"Harapanahalli,Bangalore",4,6000,3.1
1148,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1149,"Yadavanahalli,Bangalore",8,4800,1.1
1150,"Hemmigepura,Bangalore",3,1500,1.3
1151,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1152,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1153,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1154,"Cheemasandra,Bangalore",3,920,0.8
1155,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1156,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1157,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1158,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1159,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1160,"Kada Agrahara ,Bangalore",2,1050,0.75
1161,"Mattanahalli,Bangalore",3,1450,0.79
1162,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
