id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
3551,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3552,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3553,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3554,"Yelahanka,Bangalore",5,4000,6.6
3555,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3556,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3557,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3558,"Rajajinagar,Bangalore",7,5000,4.3
3559,"Kada Agrahara ,Bangalore",2,1050,0.75
3560,"Kattigenahalli,Bangalore",2,3000,1.08
3561,"Mattanahalli,Bangalore",3,1450,0.79
3562,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3563,"Mavalli,Bangalore",10,8000,5.5
3564,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3565,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3566,"Harapanahalli,Bangalore",4,6000,3.1
3567,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3568,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3569,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3570,"Hemmigepura,Bangalore",3,1500,1.3
3571,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3572,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3573,"Yadavanahalli,Bangalore",8,4800,1.1
3574,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3575,"Cheemasandra,Bangalore",3,920,0.8
3576,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3577,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3578,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3579,"Hancharahalli Village,Bangalore",3,1900,1.1
3580,"Rajajinagar,Bangalore",7,5000,4.3
3581,"Mattanahalli,Bangalore",3,1450,0.79
3582,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3583,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3584,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3585,"Yadavanahalli,Bangalore",8,4800,1.1
3586,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3587,"Cheemasandra,Bangalore",3,920,0.8
3588,"Hemmigepura,Bangalore",3,1500,1.3
3589,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3590,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3591,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3592,"Harapanahalli,Bangalore",4,6000,3.1
3593,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3594,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3595,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3596,"Mavalli,Bangalore",10,8000,5.5
3597,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3598,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3599,"Hancharahalli Village,Bangalore",3,1900,1.1
3600,"Rajajinagar,Bangalore",7,5000,4.3
3601,"Mattanahalli,Bangalore",3,1450,0.79
3602,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3603,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3604,"Hemmigepura,Bangalore",3,1500,1.3
3605,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3606,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3607,"Mavalli,Bangalore",10,8000,5.5
3608,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3609,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3610,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3611,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3612,"Harapanahalli,Bangalore",4,6000,3.1
3613,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3614,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3615,"Cheemasandra,Bangalore",3,920,0.8
3616,"Yadavanahalli,Bangalore",8,4800,1.1
3617,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3618,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3619,"Rajajinagar,Bangalore",7,5000,4.3
3620,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3621,"Kada Agrahara ,Bangalore",2,1050,0.75
3622,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3623,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3624,"Kattigenahalli,Bangalore",2,3000,1.08
3625,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3626,"Hancharahalli Village,Bangalore",3,1900,1.1
3627,"Margondanahalli,Bangalore",2,1000,1.2
3628,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3629,"Yelahanka,Bangalore",5,4000,6.6
3630,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3631,"Mattanahalli,Bangalore",3,1450,0.79
3632,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3633,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3634,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3635,"Yadavanahalli,Bangalore",8,4800,1.1
3636,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3637,"Cheemasandra,Bangalore",3,920,0.8
3638,"Hemmigepura,Bangalore",3,1500,1.3
3639,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3640,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3641,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3642,"Harapanahalli,Bangalore",4,6000,3.1
3643,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3644,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3645,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3646,"Mavalli,Bangalore",10,8000,5.5
3647,"Kada Agrahara ,Bangalore",2,1050,0.75
3648,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3649,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3650,"Yelahanka,Bangalore",5,4000,6.6
3651,"Kattigenahalli,Bangalore",2,3000,1.08
3652,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3653,"Rajajinagar,Bangalore",7,5000,4.3
3654,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3655,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3656,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3657,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3658,"Margondanahalli,Bangalore",2,1000,1.2
3659,"Hancharahalli Village,Bangalore",3,1900,1.1
3660,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3661,"Mattanahalli,Bangalore",3,1450,0.79
3662,"Mavalli,Bangalore",10,8000,5.5
3663,"Yadavanahalli,Bangalore",8,4800,1.1
3664,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3665,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3666,"Cheemasandra,Bangalore",3,920,0.8
3667,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3668,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3669,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3670,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3671,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3672,"Harapanahalli,Bangalore",4,6000,3.1
3673,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3674,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3675,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3676,"Hemmigepura,Bangalore",3,1500,1.3
3677,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3678,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3679,"Kattigenahalli,Bangalore",2,3000,1.08
3680,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3681,"Rajajinagar,Bangalore",7,5000,4.3
3682,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3683,"Yelahanka,Bangalore",5,4000,6.6
3684,"Margondanahalli,Bangalore",2,1000,1.2
3685,"Hancharahalli Village,Bangalore",3,1900,1.1
3686,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3687,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3688,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3689,"Kada Agrahara ,Bangalore",2,1050,0.75
3690,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3691,"Mattanahalli,Bangalore",3,1450,0.79
3692,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3693,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3694,"Yadavanahalli,Bangalore",8,4800,1.1
3695,"Harapanahalli,Bangalore",4,6000,3.1
3696,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3697,"Cheemasandra,Bangalore",3,920,0.8
3698,"Hemmigepura,Bangalore",3,1500,1.3
3699,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3700,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3701,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3702,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3703,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3704,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3705,"Mavalli,Bangalore",10,8000,5.5
3706,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3707,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3708,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3709,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3710,"Kada Agrahara ,Bangalore",2,1050,0.75
3711,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3712,"Hancharahalli Village,Bangalore",3,1900,1.1
3713,"Margondanahalli,Bangalore",2,1000,1.2
3714,"Rajajinagar,Bangalore",7,5000,4.3
3715,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3716,"Kattigenahalli,Bangalore",2,3000,1.08
3717,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3718,"Yelahanka,Bangalore",5,4000,6.6
3719,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3720,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3721,"Mattanahalli,Bangalore",3,1450,0.79
3722,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3723,"Mavalli,Bangalore",10,8000,5.5
3724,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3725,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3726,"Harapanahalli,Bangalore",4,6000,3.1
3727,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3728,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3729,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3730,"Hemmigepura,Bangalore",3,1500,1.3
3731,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3732,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3733,"Yadavanahalli,Bangalore",8,4800,1.1
3734,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3735,"Cheemasandra,Bangalore",3,920,0.8
3736,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3737,"Kada Agrahara ,Bangalore",2,1050,0.75
3738,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3739,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3740,"Yelahanka,Bangalore",5,4000,6.6
3741,"Mattanahalli,Bangalore",3,1450,0.79
3742,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3743,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3744,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3745,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3746,"Mavalli,Bangalore",10,8000,5.5
3747,"Harapanahalli,Bangalore",4,6000,3.1
3748,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3749,"Yadavanahalli,Bangalore",8,4800,1.1
3750,"Hemmigepura,Bangalore",3,1500,1.3
3751,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3752,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3753,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3754,"Cheemasandra,Bangalore",3,920,0.8
3755,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3756,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3757,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3758,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3759,"Kattigenahalli,Bangalore",2,3000,1.08
3760,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3761,"Mattanahalli,Bangalore",3,1450,0.79
3762,"Mavalli,Bangalore",10,8000,5.5
3763,"Yadavanahalli,Bangalore",8,4800,1.1
3764,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3765,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3766,"Cheemasandra,Bangalore",3,920,0.8
3767,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3768,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3769,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3770,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3771,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3772,"Harapanahalli,Bangalore",4,6000,3.1
3773,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3774,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3775,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3776,"Hemmigepura,Bangalore",3,1500,1.3
3777,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3778,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3779,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3780,"Kada Agrahara ,Bangalore",2,1050,0.75
3781,"Mattanahalli,Bangalore",3,1450,0.79
3782,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3783,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3784,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3785,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3786,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3787,"Hemmigepura,Bangalore",3,1500,1.3
3788,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3789,"Mavalli,Bangalore",10,8000,5.5
3790,"Harapanahalli,Bangalore",4,6000,3.1
3791,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3792,"Cheemasandra,Bangalore",3,920,0.8
3793,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3794,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3795,"Yadavanahalli,Bangalore",8,4800,1.1
3796,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3797,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3798,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3799,"Margondanahalli,Bangalore",2,1000,1.2
3800,"Hancharahalli Village,Bangalore",3,1900,1.1
3801,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3802,"Kada Agrahara ,Bangalore",2,1050,0.75
3803,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3804,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3805,"Kattigenahalli,Bangalore",2,3000,1.08
3806,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3807,"Rajajinagar,Bangalore",7,5000,4.3
3808,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3809,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3810,"Yelahanka,Bangalore",5,4000,6.6
3811,"Mattanahalli,Bangalore",3,1450,0.79
3812,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3813,"Hemmigepura,Bangalore",3,1500,1.3
3814,"Mavalli,Bangalore",10,8000,5.5
3815,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3816,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3817,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3818,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3819,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3820,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3821,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3822,"Harapanahalli,Bangalore",4,6000,3.1
3823,"Yadavanahalli,Bangalore",8,4800,1.1
3824,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3825,"Cheemasandra,Bangalore",3,920,0.8
3826,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3827,"Yelahanka,Bangalore",5,4000,6.6
3828,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3829,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3830,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3831,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3832,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3833,"Kattigenahalli,Bangalore",2,3000,1.08
3834,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3835,"Margondanahalli,Bangalore",2,1000,1.2
3836,"Kada Agrahara ,Bangalore",2,1050,0.75
3837,"Rajajinagar,Bangalore",7,5000,4.3
3838,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3839,"Hancharahalli Village,Bangalore",3,1900,1.1
3840,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3841,"Mattanahalli,Bangalore",3,1450,0.79
3842,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3843,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3844,"Yadavanahalli,Bangalore",8,4800,1.1
3845,"Harapanahalli,Bangalore",4,6000,3.1
3846,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3847,"Cheemasandra,Bangalore",3,920,0.8
3848,"Hemmigepura,Bangalore",3,1500,1.3
3849,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3850,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3851,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3852,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3853,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3854,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3855,"Mavalli,Bangalore",10,8000,5.5
3856,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3857,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3858,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3859,"Hancharahalli Village,Bangalore",3,1900,1.1
3860,"Rajajinagar,Bangalore",7,5000,4.3
3861,"Margondanahalli,Bangalore",2,1000,1.2
3862,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3863,"Kattigenahalli,Bangalore",2,3000,1.08
3864,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3865,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3866,"Yelahanka,Bangalore",5,4000,6.6
3867,"Kada Agrahara ,Bangalore",2,1050,0.75
3868,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3869,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3870,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3871,"Mattanahalli,Bangalore",3,1450,0.79
3872,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3873,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3874,"Yadavanahalli,Bangalore",8,4800,1.1
3875,"Harapanahalli,Bangalore",4,6000,3.1
3876,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3877,"Cheemasandra,Bangalore",3,920,0.8
3878,"Hemmigepura,Bangalore",3,1500,1.3
3879,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3880,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3881,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3882,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3883,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3884,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3885,"Mavalli,Bangalore",10,8000,5.5
3886,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3887,"Margondanahalli,Bangalore",2,1000,1.2
3888,"Hancharahalli Village,Bangalore",3,1900,1.1
3889,"Rajajinagar,Bangalore",7,5000,4.3
3890,"Kattigenahalli,Bangalore",2,3000,1.08
3891,"Mattanahalli,Bangalore",3,1450,0.79
3892,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3893,"Harapanahalli,Bangalore",4,6000,3.1
3894,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3895,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3896,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3897,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3898,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3899,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3900,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3901,"Mavalli,Bangalore",10,8000,5.5
3902,"Hemmigepura,Bangalore",3,1500,1.3
3903,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3904,"Yadavanahalli,Bangalore",8,4800,1.1
3905,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3906,"Cheemasandra,Bangalore",3,920,0.8
3907,"Kada Agrahara ,Bangalore",2,1050,0.75
3908,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3909,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3910,"Yelahanka,Bangalore",5,4000,6.6
3911,"Mattanahalli,Bangalore",3,1450,0.79
3912,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3913,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3914,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3915,"Yadavanahalli,Bangalore",8,4800,1.1
3916,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3917,"Cheemasandra,Bangalore",3,920,0.8
3918,"Hemmigepura,Bangalore",3,1500,1.3
3919,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3920,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3921,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3922,"Harapanahalli,Bangalore",4,6000,3.1
3923,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3924,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3925,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3926,"Mavalli,Bangalore",10,8000,5.5
3927,"Kada Agrahara ,Bangalore",2,1050,0.75
3928,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3929,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3930,"Yelahanka,Bangalore",5,4000,6.6
3931,"Kattigenahalli,Bangalore",2,3000,1.08
3932,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3933,"Rajajinagar,Bangalore",7,5000,4.3
3934,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
